@RELATION trainingdata

@ATTRIBUTE ethnicity {white,black,asian,hispanic,native_american}
@ATTRIBUTE age NUMERIC
@ATTRIBUTE gender {male,female,other}
@ATTRIBUTE education {college,nocollege}
@ATTRIBUTE salary {under,between,over}
@ATTRIBUTE party {dem,rep}

@DATA
white,26,other,college,between,dem
white,19,male,nocollege,under,rep
white,26,male,college,over,rep
white,28,male,college,between,dem
white,22,male,nocollege,between,dem
white,24,female,nocollege,between,rep
white,29,female,college,over,dem
white,25,female,nocollege,under,rep
white,18,female,nocollege,under,dem
white,43,male,nocollege,under,rep
white,42,male,nocollege,between,rep
white,44,male,college,between,rep
white,32,male,nocollege,between,rep
white,35,male,college,over,dem
white,38,male,college,between,dem
white,30,male,nocollege,under,dem
white,44,female,nocollege,between,rep
white,41,female,college,over,rep
white,36,female,nocollege,between,rep
white,33,female,college,over,dem
white,34,female,college,between,dem
white,37,female,college,under,dem
white,40,female,college,between,dem
white,47,male,nocollege,between,rep
white,58,male,nocollege,under,rep
white,54,male,college,over,rep
white,53,male,nocollege,between,rep
white,47,male,nocollege,between,rep
white,46,male,nocollege,under,rep
white,59,male,nocollege,over,rep
white,55,male,college,over,dem
white,50,male,nocollege,between,dem
white,52,male,college,over,dem
white,49,female,nocollege,between,rep
white,46,female,nocollege,between,rep
white,49,female,nocollege,under,rep
white,56,female,nocollege,between,rep
white,58,female,nocollege,under,rep
white,53,female,college,over,rep
white,59,female,nocollege,under,rep
white,57,female,college,between,dem
white,47,female,college,between,dem
white,65,male,college,over,rep
white,80,male,college,between,rep
white,95,male,college,under,rep
white,85,male,nocollege,between,rep
white,93,male,college,under,rep
white,62,male,nocollege,over,rep
white,67,male,nocollege,between,rep
white,69,male,college,over,dem
white,102,male,college,under,dem
white,63,male,college,over,dem
white,69,male,nocollege,under,dem
white,72,male,college,between,dem
white,75,male,nocollege,between,dem
white,74,male,college,under,dem
white,77,female,college,between,rep
white,70,female,nocollege,between,rep
white,76,female,college,between,rep
white,75,female,nocollege,under,rep
white,78,female,college,between,rep
white,79,female,nocollege,under,rep
white,80,female,college,between,rep
white,60,female,college,over,dem
white,92,female,nocollege,between,dem
white,94,female,college,under,dem
white,97,female,nocollege,under,dem
black,19,male,nocollege,under,dem
black,43,male,college,over,rep
black,54,male,nocollege,between,dem
black,76,male,college,under,dem
black,22,female,nocollege,under,dem
black,24,female,nocollege,between,dem
black,32,female,college,between,dem
black,36,female,nocollege,under,dem
black,51,female,nocollege,between,dem
black,46,female,college,over,dem
black,70,female,nocollege,between,dem
black,65,female,nocollege,between,dem
hispanic,48,male,college,over,rep
hispanic,67,male,nocollege,under,rep
hispanic,18,male,nocollege,under,dem
hispanic,24,male,college,between,dem
hispanic,56,male,nocollege,between,dem
hispanic,22,female,nocollege,between,rep
hispanic,33,female,college,between,rep
hispanic,54,female,nocollege,under,dem
hispanic,27,female,nocollege,between,dem
hispanic,36,female,college,between,dem
hispanic,41,female,nocollege,under,dem
hispanic,75,female,nocollege,between,dem
hispanic,31,female,college,over,dem
asian,34,male,college,over,dem
asian,27,male,college,over,rep
asian,76,female,nocollege,between,dem
asian,46,female,college,over,dem
native_american,22,male,nocollege,under,dem
native_american,46,female,nocollege,under,dem
native_american,33,male,college,between,dem
native_american,65,female,nocollege,under,dem
native_american,14,male,nocollege,between,dem
white,15,male,nocollege,over,dem
black,15,male,nocollege,over,dem
white,78,male,college,over,dem
white,15,male,nocollege,over,dem
